"","choice","service","household","cost"
"115",FALSE,"standard",23,1.7544
"116",FALSE,"budget",24,1.7834
"117",FALSE,"extended",24,13.816
"118",TRUE,"local",24,2.3283
"119",FALSE,"metro",24,3.3422
"120",FALSE,"standard",24,1.7544
"121",FALSE,"budget",25,1.1878
"122",FALSE,"extended",25,13.816
"123",TRUE,"local",25,2.3204
"124",FALSE,"metro",25,3.3422
"125",FALSE,"standard",25,1.7544
"126",FALSE,"budget",26,4.6021
"127",FALSE,"extended",26,13.816
"128",FALSE,"local",26,4.6607
"129",TRUE,"metro",26,3.3422
"130",FALSE,"standard",26,4.5869
"131",FALSE,"budget",27,1.839
"132",FALSE,"extended",27,13.816
"133",TRUE,"local",27,2.5779
"134",FALSE,"metro",27,3.3422
"135",FALSE,"standard",27,1.7544
"136",FALSE,"budget",28,1.5748
"137",FALSE,"extended",28,13.816
"138",TRUE,"local",28,2.438
"139",FALSE,"metro",28,3.3422
"140",FALSE,"standard",28,1.7544
"141",FALSE,"budget",29,1.5994
"142",FALSE,"extended",29,13.816
"143",TRUE,"local",29,2.4544
"144",FALSE,"metro",29,3.3422
"145",FALSE,"standard",29,1.7544
"146",FALSE,"budget",30,1.5851
"147",FALSE,"extended",30,13.816
"148",TRUE,"local",30,2.4604
"149",FALSE,"metro",30,3.3422
"150",FALSE,"standard",30,1.7544
"151",TRUE,"budget",31,1.5581
"152",FALSE,"extended",31,13.816
"153",FALSE,"local",31,2.406
"154",FALSE,"metro",31,3.3422
"155",FALSE,"standard",31,1.7544
"156",FALSE,"budget",32,1.4516
"157",FALSE,"extended",32,13.816
"158",FALSE,"local",32,2.3749
"159",TRUE,"metro",32,3.3422
"160",FALSE,"standard",32,1.7544
"161",FALSE,"budget",33,2.3552
"162",FALSE,"extended",33,13.816
"163",TRUE,"local",33,2.8507
"164",FALSE,"metro",33,3.3422
"165",FALSE,"standard",33,2.2017
"166",FALSE,"budget",34,1.4516
"167",FALSE,"extended",34,13.816
"168",TRUE,"local",34,2.3786
"169",FALSE,"metro",34,3.3422
"170",FALSE,"standard",34,1.7544
"171",FALSE,"budget",35,2.4406
"172",FALSE,"extended",35,13.816
"173",TRUE,"local",35,2.6865
"174",FALSE,"metro",35,3.3422
"175",FALSE,"standard",35,2.3006
"176",FALSE,"budget",36,1.4036
"177",FALSE,"extended",36,13.816
"178",FALSE,"local",36,2.3495
"179",FALSE,"metro",36,3.3422
"180",TRUE,"standard",36,1.7544
"181",TRUE,"budget",37,1.1878
"182",FALSE,"extended",37,13.816
"183",FALSE,"local",37,2.3204
"184",FALSE,"metro",37,3.3422
"185",FALSE,"standard",37,1.7544
"186",FALSE,"budget",38,3.2092
"187",FALSE,"extended",38,13.816
"188",TRUE,"local",38,3.3499
"189",FALSE,"metro",38,3.3422
"190",FALSE,"standard",38,3.1467
"191",FALSE,"budget",39,3.2249
"192",FALSE,"extended",39,13.816
"193",FALSE,"local",39,3.3304
"194",TRUE,"metro",39,3.3422
"195",FALSE,"standard",39,3.1634
"196",FALSE,"budget",40,1.2413
"197",FALSE,"extended",40,13.816
"198",TRUE,"local",40,2.3312
"199",FALSE,"metro",40,3.3422
"200",FALSE,"standard",40,1.7544
"201",FALSE,"budget",41,1.3271
"202",FALSE,"extended",41,13.816
"203",TRUE,"local",41,2.3204
"204",FALSE,"metro",41,3.3422
"205",FALSE,"standard",41,1.7544
"206",FALSE,"budget",42,2.3561
"207",FALSE,"extended",42,13.816
"208",TRUE,"local",42,2.8166
"209",FALSE,"metro",42,3.3422
"210",FALSE,"standard",42,2.2028
"211",FALSE,"budget",43,2.161
"212",FALSE,"extended",43,13.816
"213",FALSE,"local",43,2.6115
"214",FALSE,"metro",43,3.1476
"215",TRUE,"standard",43,1.9713
"216",FALSE,"budget",44,1.2296
"217",FALSE,"extended",44,13.816
"218",FALSE,"local",44,2.508
"219",FALSE,"metro",44,3.1476
"220",TRUE,"standard",44,1.7544
"221",FALSE,"budget",45,2.1679
"222",FALSE,"extended",45,13.816
"223",FALSE,"local",45,2.5688
"224",FALSE,"metro",45,3.1476
"225",TRUE,"standard",45,1.9796
"226",FALSE,"budget",46,2.3878
"227",FALSE,"extended",46,13.816
"228",TRUE,"local",46,2.5112
"229",FALSE,"metro",46,3.6449
"230",FALSE,"standard",46,2.2396
"231",FALSE,"budget",47,4.689
"232",FALSE,"extended",47,13.816
"233",FALSE,"local",47,4.6711
"234",TRUE,"metro",47,3.6449
"235",FALSE,"standard",47,4.6751
"236",FALSE,"budget",48,2.0707
"237",FALSE,"extended",48,13.816
"238",TRUE,"local",48,2.3961
"239",FALSE,"metro",48,3.6449
"240",FALSE,"standard",48,1.884
"241",FALSE,"budget",49,3.0956
"242",FALSE,"extended",49,13.816
"243",FALSE,"local",49,3.329
"244",TRUE,"metro",49,3.1476
"245",FALSE,"standard",49,3.0253
"246",FALSE,"budget",50,1.8213
"247",FALSE,"extended",50,13.816
"248",FALSE,"local",50,2.508
"249",FALSE,"metro",50,3.1476
"250",TRUE,"standard",50,1.7544
"251",FALSE,"budget",51,1.7561
"252",FALSE,"extended",51,13.816
"253",TRUE,"local",51,2.5241
"254",FALSE,"metro",51,3.1476
"255",FALSE,"standard",51,1.7544
"256",FALSE,"budget",52,2.1471
"257",FALSE,"extended",52,13.816
"258",TRUE,"local",52,2.5673
"259",FALSE,"metro",52,3.1476
"260",FALSE,"standard",52,1.9544
"261",TRUE,"budget",53,1.6956
"262",FALSE,"extended",53,13.816
"263",FALSE,"local",53,2.508
"264",FALSE,"metro",53,3.1476
"265",FALSE,"standard",53,1.7544
"266",FALSE,"budget",54,2.6391
"267",FALSE,"extended",54,13.816
"268",FALSE,"local",54,2.5757
"269",FALSE,"metro",54,3.1476
"270",TRUE,"standard",54,2.5257
"271",FALSE,"budget",55,2.9622
"272",FALSE,"extended",55,13.816
"273",TRUE,"local",55,2.568
"274",FALSE,"metro",55,3.1476
"275",FALSE,"standard",55,2.8814
"276",FALSE,"budget",56,1.5933
"277",FALSE,"extended",56,13.816
"278",TRUE,"local",56,2.5273
"279",FALSE,"metro",56,3.1476
"280",FALSE,"standard",56,1.7544
"281",FALSE,"budget",57,2.4924
"282",FALSE,"extended",57,13.816
"283",TRUE,"local",57,2.5726
"284",FALSE,"metro",57,3.1476
"285",FALSE,"standard",57,2.3599
"286",FALSE,"budget",58,3.2496
"287",FALSE,"extended",58,13.816
"288",FALSE,"local",58,3.4651
"289",TRUE,"metro",58,3.3422
"290",FALSE,"standard",58,3.1897
"291",FALSE,"budget",59,1.6919
"292",FALSE,"extended",59,13.816
"293",FALSE,"local",59,2.4891
"294",FALSE,"metro",59,3.3422
"295",TRUE,"standard",59,1.7544
"296",FALSE,"budget",60,2.0096
"297",FALSE,"extended",60,13.816
"298",FALSE,"local",60,2.6398
"299",TRUE,"metro",60,3.3422
"300",FALSE,"standard",60,1.7851
"301",FALSE,"budget",61,1.3083
"302",FALSE,"extended",61,13.816
"303",TRUE,"local",61,2.3204
"304",FALSE,"metro",61,3.3422
"305",FALSE,"standard",61,1.7544
"306",TRUE,"budget",62,2.3476
"307",FALSE,"extended",62,13.816
"308",FALSE,"local",62,2.6973
"309",FALSE,"metro",62,3.3422
"310",FALSE,"standard",62,2.1928
"311",FALSE,"budget",63,2.6953
"312",FALSE,"extended",63,13.816
"313",FALSE,"local",63,2.9796
"314",TRUE,"metro",63,3.3422
"315",FALSE,"standard",63,2.5885
"316",FALSE,"budget",64,3.1604
"317",FALSE,"extended",64,13.816
"318",FALSE,"local",64,3.3541
"319",TRUE,"metro",64,3.3422
"320",FALSE,"standard",64,3.0947
"321",FALSE,"budget",65,1.911
"322",FALSE,"extended",65,13.816
"323",TRUE,"local",65,2.4774
"324",FALSE,"metro",65,3.3422
"325",FALSE,"standard",65,1.7544
"326",FALSE,"budget",66,2.0681
"327",FALSE,"extended",66,13.816
"328",TRUE,"local",66,2.599
"329",FALSE,"metro",66,3.3422
"330",FALSE,"standard",66,1.8579
"331",FALSE,"budget",67,2.6012
"332",FALSE,"extended",67,13.816
"333",TRUE,"local",67,2.7997
"334",FALSE,"metro",67,3.3422
"335",FALSE,"standard",67,2.4832
"336",FALSE,"budget",68,2.5703
"337",TRUE,"extended",68,2.3495
"338",FALSE,"local",68,2.8662
"339",FALSE,"metro",68,3.6449
"340",FALSE,"standard",68,2.6993
"341",FALSE,"budget",69,4.6627
"342",FALSE,"extended",69,4.4109
"343",FALSE,"local",69,4.7014
"344",TRUE,"metro",69,3.6449
"345",FALSE,"standard",69,4.6766
"346",FALSE,"budget",70,6.0719
"347",FALSE,"extended",70,6.0708
"348",FALSE,"local",70,6.0765
"349",TRUE,"metro",70,3.6449
"350",FALSE,"standard",70,6.0703
"351",TRUE,"budget",71,2.5997
"352",FALSE,"extended",71,2.9832
"353",FALSE,"local",71,2.8764
"354",FALSE,"metro",71,3.6449
"355",FALSE,"standard",71,2.7114
"356",FALSE,"budget",72,4.9478
"357",FALSE,"extended",72,4.9391
"358",FALSE,"local",72,4.9774
"359",TRUE,"metro",72,3.6449
"360",FALSE,"standard",72,4.9586
"361",TRUE,"budget",73,1.4816
"362",FALSE,"extended",73,13.816
"363",FALSE,"local",73,2.3204
"364",FALSE,"metro",73,13.816
"365",FALSE,"standard",73,1.7544
"366",FALSE,"budget",74,1.3888
"367",FALSE,"extended",74,13.816
"368",FALSE,"local",74,2.3204
"369",FALSE,"metro",74,13.816
"370",TRUE,"standard",74,1.7544
"371",FALSE,"budget",75,2.127
"372",FALSE,"extended",75,13.816
"373",TRUE,"local",75,2.3204
"374",FALSE,"metro",75,13.816
"375",FALSE,"standard",75,1.9301
"376",TRUE,"budget",76,1.3987
"377",FALSE,"extended",76,13.816
"378",FALSE,"local",76,2.3204
"379",FALSE,"metro",76,13.816
"380",FALSE,"standard",76,1.7544
"381",TRUE,"budget",77,1.3083
"382",FALSE,"extended",77,13.816
"383",FALSE,"local",77,2.3204
"384",FALSE,"metro",77,13.816
"385",FALSE,"standard",77,1.7544
"386",FALSE,"budget",78,3.0287
"387",FALSE,"extended",78,13.816
"388",TRUE,"local",78,2.3204
"389",FALSE,"metro",78,13.816
"390",FALSE,"standard",78,2.9533
"391",FALSE,"budget",79,1.6956
"392",FALSE,"extended",79,13.816
"393",TRUE,"local",79,2.3204
"394",FALSE,"metro",79,13.816
"395",FALSE,"standard",79,1.7544
"396",FALSE,"budget",80,1.6827
"397",FALSE,"extended",80,13.816
"398",FALSE,"local",80,2.3204
"399",FALSE,"metro",80,13.816
"400",TRUE,"standard",80,1.7544
"401",TRUE,"budget",81,1.7334
"402",FALSE,"extended",81,13.816
"403",FALSE,"local",81,2.3204
"404",FALSE,"metro",81,13.816
"405",FALSE,"standard",81,1.7544
"406",TRUE,"budget",82,1.5063
"407",FALSE,"extended",82,13.816
"408",FALSE,"local",82,2.5557
"409",FALSE,"metro",82,3.1476
"410",FALSE,"standard",82,1.7544
"411",FALSE,"budget",83,2.0669
"412",FALSE,"extended",83,13.816
"413",FALSE,"local",83,2.7272
"414",FALSE,"metro",83,3.1476
"415",TRUE,"standard",83,1.8563
"416",TRUE,"budget",84,2.3263
"417",FALSE,"extended",84,13.816
"418",FALSE,"local",84,2.3204
"419",FALSE,"metro",84,13.816
"420",FALSE,"standard",84,2.1679
"421",FALSE,"budget",85,1.9685
"422",FALSE,"extended",85,13.816
"423",FALSE,"local",85,2.3204
"424",FALSE,"metro",85,13.816
"425",TRUE,"standard",85,1.7544
"426",FALSE,"budget",86,2.0528
"427",FALSE,"extended",86,13.816
"428",TRUE,"local",86,2.3204
"429",FALSE,"metro",86,13.816
"430",FALSE,"standard",86,1.839
"431",FALSE,"budget",87,2.0528
"432",FALSE,"extended",87,13.816
"433",FALSE,"local",87,2.3204
"434",FALSE,"metro",87,13.816
"435",TRUE,"standard",87,1.839
"436",FALSE,"budget",88,2.7676
"437",FALSE,"extended",88,13.816
"438",TRUE,"local",88,2.6546
"439",FALSE,"metro",88,3.1476
"440",FALSE,"standard",88,2.6686
"441",FALSE,"budget",89,2.714
"442",FALSE,"extended",89,13.816
"443",TRUE,"local",89,2.508
"444",FALSE,"metro",89,3.1476
"445",FALSE,"standard",89,2.6093
"446",FALSE,"budget",90,2.2732
"447",FALSE,"extended",90,13.816
"448",TRUE,"local",90,2.593
"449",FALSE,"metro",90,3.1476
"450",FALSE,"standard",90,2.1054
"451",FALSE,"budget",91,1.1878
"452",FALSE,"extended",91,13.816
"453",FALSE,"local",91,2.508
"454",FALSE,"metro",91,3.1476
"455",TRUE,"standard",91,1.7544
"456",FALSE,"budget",92,4.022
"457",FALSE,"extended",92,3.7381
"458",FALSE,"local",92,3.7709
"459",TRUE,"metro",92,3.6449
"460",FALSE,"standard",92,3.9947
"461",FALSE,"budget",93,1.8099
"462",TRUE,"extended",93,2.4681
"463",FALSE,"local",93,2.4257
"464",FALSE,"metro",93,3.6449
"465",FALSE,"standard",93,2.1529
"466",FALSE,"budget",94,1.9516
"467",FALSE,"extended",94,13.816
"468",FALSE,"local",94,2.3204
"469",FALSE,"metro",94,13.816
"470",TRUE,"standard",94,1.7544
"471",TRUE,"budget",95,1.2698
"472",FALSE,"extended",95,13.816
"473",FALSE,"local",95,2.3204
"474",FALSE,"metro",95,13.816
"475",FALSE,"standard",95,1.7544
"476",TRUE,"budget",96,1.7579
"477",FALSE,"extended",96,13.816
"478",FALSE,"local",96,2.3204
"479",FALSE,"metro",96,13.816
"480",FALSE,"standard",96,1.7544
"481",FALSE,"budget",97,2.6433
"482",FALSE,"extended",97,13.816
"483",TRUE,"local",97,2.3204
"484",FALSE,"metro",97,13.816
"485",FALSE,"standard",97,2.5305
"486",FALSE,"budget",98,2.5619
"487",FALSE,"extended",98,2.4527
"488",TRUE,"local",98,2.4006
"489",FALSE,"metro",98,3.6449
"490",FALSE,"standard",98,2.4389
"491",FALSE,"budget",99,2.4757
"492",FALSE,"extended",99,13.816
"493",TRUE,"local",99,2.3204
"494",FALSE,"metro",99,13.816
"495",FALSE,"standard",99,2.3408
"496",FALSE,"budget",100,3.0974
"497",FALSE,"extended",100,13.816
"498",FALSE,"local",100,3.2527
"499",TRUE,"metro",100,3.3422
"500",FALSE,"standard",100,3.0272
"501",TRUE,"budget",101,2.4973
"502",FALSE,"extended",101,13.816
"503",FALSE,"local",101,2.8094
"504",FALSE,"metro",101,3.3422
"505",FALSE,"standard",101,2.3656
"506",FALSE,"budget",102,2.7942
"507",FALSE,"extended",102,13.816
"508",TRUE,"local",102,2.9882
"509",FALSE,"metro",102,3.3422
"510",FALSE,"standard",102,2.698
"511",FALSE,"budget",103,3.4858
"512",FALSE,"extended",103,13.816
"513",FALSE,"local",103,3.4998
"514",TRUE,"metro",103,3.3422
"515",FALSE,"standard",103,3.4388
"516",FALSE,"budget",104,1.9615
"517",FALSE,"extended",104,13.816
"518",TRUE,"local",104,2.4791
"519",FALSE,"metro",104,3.3422
"520",FALSE,"standard",104,1.7544
"521",TRUE,"budget",105,1.411
"522",FALSE,"extended",105,13.816
"523",FALSE,"local",105,2.3389
"524",FALSE,"metro",105,3.3422
"525",FALSE,"standard",105,1.7544
"526",TRUE,"budget",106,1.2892
"527",FALSE,"extended",106,13.816
"528",FALSE,"local",106,2.3204
"529",FALSE,"metro",106,3.3422
"530",FALSE,"standard",106,1.7544
"531",FALSE,"budget",107,3.101
"532",FALSE,"extended",107,13.816
"533",FALSE,"local",107,3.3365
"534",TRUE,"metro",107,3.3422
"535",FALSE,"standard",107,3.0311
"536",FALSE,"budget",108,1.8976
"537",FALSE,"extended",108,13.816
"538",FALSE,"local",108,2.59
"539",FALSE,"metro",108,3.3422
"540",TRUE,"standard",108,1.7544
"541",FALSE,"budget",109,2.4698
"542",FALSE,"extended",109,13.816
"543",FALSE,"local",109,2.9069
"544",FALSE,"metro",109,3.3422
"545",TRUE,"standard",109,2.3341
"546",FALSE,"budget",110,2.4319
"547",FALSE,"extended",110,13.816
"548",TRUE,"local",110,2.8826
"549",FALSE,"metro",110,3.3422
"550",FALSE,"standard",110,2.2905
"551",FALSE,"budget",111,2.9735
"552",FALSE,"extended",111,13.816
"553",TRUE,"local",111,2.8668
"554",FALSE,"metro",111,3.3422
"555",FALSE,"standard",111,2.8937
"556",FALSE,"budget",112,1.9199
"557",FALSE,"extended",112,13.816
"558",FALSE,"local",112,2.6086
"559",TRUE,"metro",112,3.3422
"560",FALSE,"standard",112,1.7544
"561",FALSE,"budget",113,2.7651
"562",FALSE,"extended",113,13.816
"563",FALSE,"local",113,3.0699
"564",TRUE,"metro",113,3.3422
"565",FALSE,"standard",113,2.6658
"566",FALSE,"budget",114,2.2762
"567",FALSE,"extended",114,13.816
"568",FALSE,"local",114,2.5265
"569",FALSE,"metro",114,3.3422
"570",TRUE,"standard",114,2.109
"571",FALSE,"budget",115,1.8229
"572",FALSE,"extended",115,13.816
"573",TRUE,"local",115,2.508
"574",FALSE,"metro",115,3.1476
"575",FALSE,"standard",115,1.7544
"576",FALSE,"budget",116,3.325
"577",FALSE,"extended",116,13.816
"578",FALSE,"local",116,3.383
"579",TRUE,"metro",116,3.1476
"580",FALSE,"standard",116,3.2696
"581",FALSE,"budget",117,2.9328
"582",FALSE,"extended",117,13.816
"583",TRUE,"local",117,2.5273
"584",FALSE,"metro",117,3.1476
"585",FALSE,"standard",117,2.8495
"586",FALSE,"budget",118,2.0956
"587",FALSE,"extended",118,13.816
"588",FALSE,"local",118,2.6561
"589",FALSE,"metro",118,3.1476
"590",TRUE,"standard",118,1.8916
"591",TRUE,"budget",119,1.1878
"592",FALSE,"extended",119,13.816
"593",FALSE,"local",119,2.508
"594",FALSE,"metro",119,3.1476
"595",FALSE,"standard",119,1.7544
"596",FALSE,"budget",120,2.5665
"597",FALSE,"extended",120,13.816
"598",FALSE,"local",120,2.8148
"599",FALSE,"metro",120,3.1476
"600",TRUE,"standard",120,2.4441
"601",FALSE,"budget",121,2.0373
"602",FALSE,"extended",121,13.816
"603",FALSE,"local",121,2.5233
"604",FALSE,"metro",121,3.1476
"605",TRUE,"standard",121,1.8197
"606",TRUE,"budget",122,1.2892
"607",FALSE,"extended",122,13.816
"608",FALSE,"local",122,2.508
"609",FALSE,"metro",122,3.1476
"610",FALSE,"standard",122,1.7544
"611",FALSE,"budget",123,3.641
"612",FALSE,"extended",123,13.816
"613",FALSE,"local",123,3.7892
"614",TRUE,"metro",123,3.3422
"615",FALSE,"standard",123,3.6009
"616",FALSE,"budget",124,1.7817
"617",FALSE,"extended",124,13.816
"618",TRUE,"local",124,2.4123
"619",FALSE,"metro",124,3.3422
"620",FALSE,"standard",124,1.7544
"621",FALSE,"budget",125,2.5321
"622",FALSE,"extended",125,13.816
"623",TRUE,"local",125,2.3988
"624",FALSE,"metro",125,3.3422
"625",FALSE,"standard",125,2.4051
"626",FALSE,"budget",126,2.7007
"627",FALSE,"extended",126,13.816
"628",TRUE,"local",126,2.4866
"629",FALSE,"metro",126,3.3422
"630",FALSE,"standard",126,2.5945
"631",FALSE,"budget",127,1.7011
"632",FALSE,"extended",127,13.816
"633",FALSE,"local",127,2.4723
"634",TRUE,"metro",127,3.3422
"635",FALSE,"standard",127,1.7544
"636",FALSE,"budget",128,1.5748
"637",FALSE,"extended",128,13.816
"638",TRUE,"local",128,2.4319
"639",FALSE,"metro",128,3.3422
"640",FALSE,"standard",128,1.7544
"641",FALSE,"budget",129,3.2088
"642",FALSE,"extended",129,13.816
"643",FALSE,"local",129,3.0229
"644",TRUE,"metro",129,3.1476
"645",FALSE,"standard",129,3.1463
"646",FALSE,"budget",130,3.8084
"647",FALSE,"extended",130,13.816
"648",FALSE,"local",130,3.9138
"649",FALSE,"metro",130,3.3422
"650",TRUE,"standard",130,3.7746
"651",FALSE,"budget",131,1.2267
"652",FALSE,"extended",131,13.816
"653",TRUE,"local",131,2.3263
"654",FALSE,"metro",131,3.3422
"655",FALSE,"standard",131,1.7544
"656",FALSE,"budget",132,1.4398
"657",FALSE,"extended",132,13.816
"658",TRUE,"local",132,2.3204
"659",FALSE,"metro",132,3.3422
"660",FALSE,"standard",132,1.7544
"661",TRUE,"budget",133,1.209
"662",FALSE,"extended",133,13.816
"663",FALSE,"local",133,2.3204
"664",FALSE,"metro",133,3.3422
"665",FALSE,"standard",133,1.7544
"666",FALSE,"budget",134,1.4563
"667",FALSE,"extended",134,13.816
"668",TRUE,"local",134,2.3204
"669",FALSE,"metro",134,3.3422
"670",FALSE,"standard",134,1.7544
"671",FALSE,"budget",135,1.4586
"672",FALSE,"extended",135,13.816
"673",TRUE,"local",135,2.4159
"674",FALSE,"metro",135,3.3422
"675",FALSE,"standard",135,1.7544
"676",FALSE,"budget",136,1.3218
"677",FALSE,"extended",136,13.816
"678",TRUE,"local",136,2.3656
"679",FALSE,"metro",136,3.3422
"680",FALSE,"standard",136,1.7544
"681",FALSE,"budget",137,2.1247
"682",FALSE,"extended",137,13.816
"683",TRUE,"local",137,2.6644
"684",FALSE,"metro",137,3.3422
"685",FALSE,"standard",137,1.9272
"686",FALSE,"budget",138,1.4134
"687",FALSE,"extended",138,13.816
"688",TRUE,"local",138,2.3533
"689",FALSE,"metro",138,3.3422
"690",FALSE,"standard",138,1.7544
"691",FALSE,"budget",139,2.7187
"692",FALSE,"extended",139,13.816
"693",TRUE,"local",139,2.5384
"694",FALSE,"metro",139,3.1476
"695",FALSE,"standard",139,2.6145
"696",TRUE,"budget",140,1.6658
"697",FALSE,"extended",140,13.816
"698",FALSE,"local",140,2.3952
"699",FALSE,"metro",140,3.3422
"700",FALSE,"standard",140,1.7544
"701",FALSE,"budget",141,2.5487
"702",FALSE,"extended",141,13.816
"703",TRUE,"local",141,2.5688
"704",FALSE,"metro",141,3.3422
"705",FALSE,"standard",141,2.4239
"706",FALSE,"budget",142,1.9095
"707",FALSE,"extended",142,13.816
"708",TRUE,"local",142,2.5305
"709",FALSE,"metro",142,3.3422
"710",FALSE,"standard",142,1.7544
"711",FALSE,"budget",143,1.8856
"712",FALSE,"extended",143,13.816
"713",FALSE,"local",143,2.508
"714",FALSE,"metro",143,3.1476
"715",TRUE,"standard",143,1.7544
"716",FALSE,"budget",144,3.0243
"717",FALSE,"extended",144,13.816
"718",TRUE,"local",144,2.6483
"719",FALSE,"metro",144,3.1476
"720",FALSE,"standard",144,2.9486
"721",FALSE,"budget",145,1.2837
"722",FALSE,"extended",145,13.816
"723",TRUE,"local",145,2.3321
"724",FALSE,"metro",145,3.3422
"725",FALSE,"standard",145,1.7544
"726",FALSE,"budget",146,1.6715
"727",FALSE,"extended",146,13.816
"728",TRUE,"local",146,2.4527
"729",FALSE,"metro",146,3.3422
"730",FALSE,"standard",146,1.7544
"731",FALSE,"budget",147,2.4791
"732",FALSE,"extended",147,13.816
"733",FALSE,"local",147,2.9129
"734",TRUE,"metro",147,3.3422
"735",FALSE,"standard",147,2.3447
"736",FALSE,"budget",148,2.1599
"737",FALSE,"extended",148,13.816
"738",TRUE,"local",148,2.6803
"739",FALSE,"metro",148,3.3422
"740",FALSE,"standard",148,1.9699
"741",FALSE,"budget",149,3.6144
"742",FALSE,"extended",149,13.816
"743",FALSE,"local",149,3.7614
"744",TRUE,"metro",149,3.3422
"745",FALSE,"standard",149,3.5732
"746",FALSE,"budget",150,3.5216
"747",FALSE,"extended",150,13.816
"748",FALSE,"local",150,3.6378
"749",TRUE,"metro",150,3.3422
"750",FALSE,"standard",150,3.4763
"751",TRUE,"budget",151,1.2296
"752",FALSE,"extended",151,13.816
"753",FALSE,"local",151,2.3204
"754",FALSE,"metro",151,3.3422
