"","alt","choice","price","mincost","extras","network","sms","design","complexity"
"79",1,1,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"80",2,0,135,135,"games","other",0.17,"basic","no"
"81",1,1,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"82",2,0,135,135,"games","other",0.17,"basic","no"
"83",1,1,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"84",2,0,135,135,"games","other",0.17,"basic","no"
"85",1,1,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"86",2,0,135,135,"games","other",0.17,"basic","no"
"87",1,1,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"88",2,0,135,135,"games","other",0.17,"basic","no"
"89",1,1,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"90",2,0,135,135,"games","other",0.17,"basic","no"
"91",1,0,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"92",2,1,135,135,"games","other",0.17,"basic","no"
"93",1,0,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"94",2,1,135,135,"games","other",0.17,"basic","no"
"95",1,0,100,170,"internet","KPNVodafone",0.23,"trendy","no"
"96",2,1,135,135,"games","other",0.17,"basic","no"
"97",1,1,135,100,"internet","other",0.23,"trendy","no"
"98",2,0,100,135,"games","KPNVodafone",0.17,"trendy","no"
"99",1,1,135,100,"internet","other",0.23,"trendy","no"
"100",2,0,100,135,"games","KPNVodafone",0.17,"trendy","no"
"101",1,1,135,100,"internet","other",0.23,"trendy","no"
"102",2,0,100,135,"games","KPNVodafone",0.17,"trendy","no"
"103",1,1,135,100,"internet","other",0.23,"trendy","no"
"104",2,0,100,135,"games","KPNVodafone",0.17,"trendy","no"
"105",1,1,135,100,"internet","other",0.23,"trendy","no"
"106",2,0,100,135,"games","KPNVodafone",0.17,"trendy","no"
"107",1,0,135,100,"internet","other",0.23,"trendy","no"
"108",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"109",1,0,135,100,"internet","other",0.23,"trendy","no"
"110",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"111",1,0,135,100,"internet","other",0.23,"trendy","no"
"112",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"113",1,0,135,100,"internet","other",0.23,"trendy","no"
"114",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"115",1,0,135,100,"internet","other",0.23,"trendy","no"
"116",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"117",1,0,135,100,"internet","other",0.23,"trendy","no"
"118",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"119",1,0,135,100,"internet","other",0.23,"trendy","no"
"120",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"121",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"122",2,0,170,170,"games","other",0.17,"trendy","no"
"123",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"124",2,0,170,170,"games","other",0.17,"trendy","no"
"125",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"126",2,0,170,170,"games","other",0.17,"trendy","no"
"127",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"128",2,0,170,170,"games","other",0.17,"trendy","no"
"129",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"130",2,0,170,170,"games","other",0.17,"trendy","no"
"131",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"132",2,0,170,170,"games","other",0.17,"trendy","no"
"133",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"134",2,0,170,170,"games","other",0.17,"trendy","no"
"135",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"136",2,0,170,170,"games","other",0.17,"trendy","no"
"137",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"138",2,0,170,170,"games","other",0.17,"trendy","no"
"139",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"140",2,0,170,170,"games","other",0.17,"trendy","no"
"141",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"142",2,0,170,170,"games","other",0.17,"trendy","no"
"143",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"144",2,0,170,170,"games","other",0.17,"trendy","no"
"145",1,1,135,100,"camera","other",0.17,"trendy","no"
"146",2,0,170,170,"camera","other",0.23,"trendy","yes"
"147",1,1,135,100,"camera","other",0.17,"trendy","no"
"148",2,0,170,170,"camera","other",0.23,"trendy","yes"
"149",1,1,135,100,"camera","other",0.17,"trendy","no"
"150",2,0,170,170,"camera","other",0.23,"trendy","yes"
"151",1,1,135,100,"camera","other",0.17,"trendy","no"
"152",2,0,170,170,"camera","other",0.23,"trendy","yes"
"153",1,1,135,100,"camera","other",0.17,"trendy","no"
"154",2,0,170,170,"camera","other",0.23,"trendy","yes"
"155",1,1,135,100,"camera","other",0.17,"trendy","no"
"156",2,0,170,170,"camera","other",0.23,"trendy","yes"
"157",1,1,135,100,"camera","other",0.17,"trendy","no"
"158",2,0,170,170,"camera","other",0.23,"trendy","yes"
"159",1,1,135,100,"camera","other",0.17,"trendy","no"
"160",2,0,170,170,"camera","other",0.23,"trendy","yes"
"161",1,1,135,100,"camera","other",0.17,"trendy","no"
"162",2,0,170,170,"camera","other",0.23,"trendy","yes"
"163",1,1,135,100,"camera","other",0.17,"trendy","no"
"164",2,0,170,170,"camera","other",0.23,"trendy","yes"
"165",1,1,135,100,"camera","other",0.17,"trendy","no"
"166",2,0,170,170,"camera","other",0.23,"trendy","yes"
"167",1,1,135,100,"camera","other",0.17,"trendy","no"
"168",2,0,170,170,"camera","other",0.23,"trendy","yes"
"169",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"170",2,0,170,135,"camera","other",0.23,"basic","no"
"171",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"172",2,0,170,135,"camera","other",0.23,"basic","no"
"173",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"174",2,0,170,135,"camera","other",0.23,"basic","no"
"175",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"176",2,0,170,135,"camera","other",0.23,"basic","no"
"177",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"178",2,0,170,135,"camera","other",0.23,"basic","no"
"179",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"180",2,0,170,135,"camera","other",0.23,"basic","no"
"181",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"182",2,0,170,135,"camera","other",0.23,"basic","no"
"183",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"184",2,0,170,135,"camera","other",0.23,"basic","no"
"185",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"186",2,0,170,135,"camera","other",0.23,"basic","no"
"187",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"188",2,0,170,135,"camera","other",0.23,"basic","no"
"189",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"190",2,0,170,135,"camera","other",0.23,"basic","no"
"191",1,1,100,100,"internet","KPNVodafone",0.17,"trendy","no"
"192",2,0,170,135,"camera","other",0.23,"basic","no"
"193",1,1,135,100,"games","KPNVodafone",0.17,"basic","no"
"194",2,0,100,170,"camera","other",0.17,"trendy","yes"
"195",1,1,135,100,"games","KPNVodafone",0.17,"basic","no"
"196",2,0,100,170,"camera","other",0.17,"trendy","yes"
"197",1,1,135,100,"games","KPNVodafone",0.17,"basic","no"
"198",2,0,100,170,"camera","other",0.17,"trendy","yes"
"199",1,1,135,100,"games","KPNVodafone",0.17,"basic","no"
"200",2,0,100,170,"camera","other",0.17,"trendy","yes"
"201",1,1,135,100,"games","KPNVodafone",0.17,"basic","no"
"202",2,0,100,170,"camera","other",0.17,"trendy","yes"
"203",1,0,135,100,"games","KPNVodafone",0.17,"basic","no"
"204",2,1,100,170,"camera","other",0.17,"trendy","yes"
"205",1,0,135,100,"games","KPNVodafone",0.17,"basic","no"
"206",2,1,100,170,"camera","other",0.17,"trendy","yes"
"207",1,0,135,100,"games","KPNVodafone",0.17,"basic","no"
"208",2,1,100,170,"camera","other",0.17,"trendy","yes"
"209",1,0,135,100,"games","KPNVodafone",0.17,"basic","no"
"210",2,1,100,170,"camera","other",0.17,"trendy","yes"
"211",1,0,135,100,"games","KPNVodafone",0.17,"basic","no"
"212",2,1,100,170,"camera","other",0.17,"trendy","yes"
"213",1,0,135,100,"games","KPNVodafone",0.17,"basic","no"
"214",2,1,100,170,"camera","other",0.17,"trendy","yes"
"215",1,0,135,100,"games","KPNVodafone",0.17,"basic","no"
"216",2,1,100,170,"camera","other",0.17,"trendy","yes"
"217",1,1,100,135,"internet","other",0.23,"basic","no"
"218",2,0,170,100,"games","KPNVodafone",0.17,"trendy","no"
"219",1,1,100,135,"internet","other",0.23,"basic","no"
"220",2,0,170,100,"games","KPNVodafone",0.17,"trendy","no"
"221",1,1,100,135,"internet","other",0.23,"basic","no"
"222",2,0,170,100,"games","KPNVodafone",0.17,"trendy","no"
"223",1,1,100,135,"internet","other",0.23,"basic","no"
"224",2,0,170,100,"games","KPNVodafone",0.17,"trendy","no"
"225",1,1,100,135,"internet","other",0.23,"basic","no"
"226",2,0,170,100,"games","KPNVodafone",0.17,"trendy","no"
"227",1,0,100,135,"internet","other",0.23,"basic","no"
"228",2,1,170,100,"games","KPNVodafone",0.17,"trendy","no"
"229",1,0,100,135,"internet","other",0.23,"basic","no"
"230",2,1,170,100,"games","KPNVodafone",0.17,"trendy","no"
"231",1,0,100,135,"internet","other",0.23,"basic","no"
"232",2,1,170,100,"games","KPNVodafone",0.17,"trendy","no"
"233",1,0,100,135,"internet","other",0.23,"basic","no"
"234",2,1,170,100,"games","KPNVodafone",0.17,"trendy","no"
"235",1,0,100,135,"internet","other",0.23,"basic","no"
"236",2,1,170,100,"games","KPNVodafone",0.17,"trendy","no"
"237",1,0,100,135,"internet","other",0.23,"basic","no"
"238",2,1,170,100,"games","KPNVodafone",0.17,"trendy","no"
"239",1,0,100,135,"internet","other",0.23,"basic","no"
"240",2,1,170,100,"games","KPNVodafone",0.17,"trendy","no"
"241",1,1,135,135,"camera","other",0.17,"trendy","no"
"242",2,0,170,170,"games","other",0.23,"trendy","no"
"243",1,1,135,135,"camera","other",0.17,"trendy","no"
"244",2,0,170,170,"games","other",0.23,"trendy","no"
"245",1,1,135,135,"camera","other",0.17,"trendy","no"
"246",2,0,170,170,"games","other",0.23,"trendy","no"
"247",1,1,135,135,"camera","other",0.17,"trendy","no"
"248",2,0,170,170,"games","other",0.23,"trendy","no"
"249",1,1,135,135,"camera","other",0.17,"trendy","no"
"250",2,0,170,170,"games","other",0.23,"trendy","no"
"251",1,1,135,135,"camera","other",0.17,"trendy","no"
"252",2,0,170,170,"games","other",0.23,"trendy","no"
"253",1,1,135,135,"camera","other",0.17,"trendy","no"
"254",2,0,170,170,"games","other",0.23,"trendy","no"
"255",1,1,135,135,"camera","other",0.17,"trendy","no"
"256",2,0,170,170,"games","other",0.23,"trendy","no"
"257",1,1,135,135,"camera","other",0.17,"trendy","no"
"258",2,0,170,170,"games","other",0.23,"trendy","no"
"259",1,1,135,135,"camera","other",0.17,"trendy","no"
"260",2,0,170,170,"games","other",0.23,"trendy","no"
"261",1,1,135,135,"camera","other",0.17,"trendy","no"
"262",2,0,170,170,"games","other",0.23,"trendy","no"
"263",1,1,135,135,"camera","other",0.17,"trendy","no"
"264",2,0,170,170,"games","other",0.23,"trendy","no"
"265",1,1,170,100,"internet","KPNVodafone",0.23,"basic","no"
"266",2,0,135,135,"camera","other",0.17,"trendy","yes"
"267",1,1,170,100,"internet","KPNVodafone",0.23,"basic","no"
"268",2,0,135,135,"camera","other",0.17,"trendy","yes"
"269",1,1,170,100,"internet","KPNVodafone",0.23,"basic","no"
"270",2,0,135,135,"camera","other",0.17,"trendy","yes"
"271",1,0,170,100,"internet","KPNVodafone",0.23,"basic","no"
"272",2,1,135,135,"camera","other",0.17,"trendy","yes"
"273",1,0,170,100,"internet","KPNVodafone",0.23,"basic","no"
"274",2,1,135,135,"camera","other",0.17,"trendy","yes"
"275",1,0,170,100,"internet","KPNVodafone",0.23,"basic","no"
"276",2,1,135,135,"camera","other",0.17,"trendy","yes"
"277",1,0,170,100,"internet","KPNVodafone",0.23,"basic","no"
"278",2,1,135,135,"camera","other",0.17,"trendy","yes"
"279",1,0,170,100,"internet","KPNVodafone",0.23,"basic","no"
"280",2,1,135,135,"camera","other",0.17,"trendy","yes"
"281",1,0,170,100,"internet","KPNVodafone",0.23,"basic","no"
"282",2,1,135,135,"camera","other",0.17,"trendy","yes"
"283",1,0,170,100,"internet","KPNVodafone",0.23,"basic","no"
"284",2,1,135,135,"camera","other",0.17,"trendy","yes"
"285",1,0,170,100,"internet","KPNVodafone",0.23,"basic","no"
"286",2,1,135,135,"camera","other",0.17,"trendy","yes"
"287",1,0,170,100,"internet","KPNVodafone",0.23,"basic","no"
"288",2,1,135,135,"camera","other",0.17,"trendy","yes"
"289",1,1,170,170,"games","KPNVodafone",0.23,"basic","no"
"290",2,0,100,135,"internet","other",0.17,"basic","no"
"291",1,1,170,170,"games","KPNVodafone",0.23,"basic","no"
"292",2,0,100,135,"internet","other",0.17,"basic","no"
"293",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"294",2,1,100,135,"internet","other",0.17,"basic","no"
"295",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"296",2,1,100,135,"internet","other",0.17,"basic","no"
"297",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"298",2,1,100,135,"internet","other",0.17,"basic","no"
"299",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"300",2,1,100,135,"internet","other",0.17,"basic","no"
"301",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"302",2,1,100,135,"internet","other",0.17,"basic","no"
"303",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"304",2,1,100,135,"internet","other",0.17,"basic","no"
"305",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"306",2,1,100,135,"internet","other",0.17,"basic","no"
"307",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"308",2,1,100,135,"internet","other",0.17,"basic","no"
"309",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"310",2,1,100,135,"internet","other",0.17,"basic","no"
"311",1,0,170,170,"games","KPNVodafone",0.23,"basic","no"
"312",2,1,100,135,"internet","other",0.17,"basic","no"
"313",1,1,170,170,"internet","KPNVodafone",0.17,"basic","no"
"314",2,0,135,100,"games","other",0.23,"trendy","no"
"315",1,1,170,170,"internet","KPNVodafone",0.17,"basic","no"
"316",2,0,135,100,"games","other",0.23,"trendy","no"
"317",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"318",2,1,135,100,"games","other",0.23,"trendy","no"
"319",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"320",2,1,135,100,"games","other",0.23,"trendy","no"
"321",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"322",2,1,135,100,"games","other",0.23,"trendy","no"
"323",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"324",2,1,135,100,"games","other",0.23,"trendy","no"
"325",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"326",2,1,135,100,"games","other",0.23,"trendy","no"
"327",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"328",2,1,135,100,"games","other",0.23,"trendy","no"
"329",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"330",2,1,135,100,"games","other",0.23,"trendy","no"
"331",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"332",2,1,135,100,"games","other",0.23,"trendy","no"
"333",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"334",2,1,135,100,"games","other",0.23,"trendy","no"
"335",1,0,170,170,"internet","KPNVodafone",0.17,"basic","no"
"336",2,1,135,100,"games","other",0.23,"trendy","no"
"337",1,0,135,170,"internet","other",0.17,"basic","no"
"338",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"339",1,0,135,170,"internet","other",0.17,"basic","no"
"340",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"341",1,0,135,170,"internet","other",0.17,"basic","no"
"342",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"343",1,0,135,170,"internet","other",0.17,"basic","no"
"344",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"345",1,0,135,170,"internet","other",0.17,"basic","no"
"346",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"347",1,0,135,170,"internet","other",0.17,"basic","no"
"348",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"349",1,0,135,170,"internet","other",0.17,"basic","no"
"350",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"351",1,0,135,170,"internet","other",0.17,"basic","no"
"352",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"353",1,0,135,170,"internet","other",0.17,"basic","no"
"354",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"355",1,0,135,170,"internet","other",0.17,"basic","no"
"356",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"357",1,0,135,170,"internet","other",0.17,"basic","no"
"358",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"359",1,0,135,170,"internet","other",0.17,"basic","no"
"360",2,1,100,135,"camera","KPNVodafone",0.23,"basic","yes"
"361",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"362",2,0,135,135,"games","other",0.23,"basic","no"
"363",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"364",2,0,135,135,"games","other",0.23,"basic","no"
"365",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"366",2,0,135,135,"games","other",0.23,"basic","no"
"367",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"368",2,0,135,135,"games","other",0.23,"basic","no"
"369",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"370",2,0,135,135,"games","other",0.23,"basic","no"
"371",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"372",2,0,135,135,"games","other",0.23,"basic","no"
"373",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"374",2,0,135,135,"games","other",0.23,"basic","no"
"375",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"376",2,0,135,135,"games","other",0.23,"basic","no"
"377",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"378",2,0,135,135,"games","other",0.23,"basic","no"
"379",1,1,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"380",2,0,135,135,"games","other",0.23,"basic","no"
"381",1,0,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"382",2,1,135,135,"games","other",0.23,"basic","no"
"383",1,0,100,170,"internet","KPNVodafone",0.17,"trendy","no"
"384",2,1,135,135,"games","other",0.23,"basic","no"
"385",1,1,135,100,"internet","other",0.23,"trendy","no"
"386",2,0,100,135,"games","KPNVodafone",0.17,"trendy","no"
"387",1,1,135,100,"internet","other",0.23,"trendy","no"
"388",2,0,100,135,"games","KPNVodafone",0.17,"trendy","no"
"389",1,1,135,100,"internet","other",0.23,"trendy","no"
"390",2,0,100,135,"games","KPNVodafone",0.17,"trendy","no"
"391",1,1,135,100,"internet","other",0.23,"trendy","no"
"392",2,0,100,135,"games","KPNVodafone",0.17,"trendy","no"
"393",1,0,135,100,"internet","other",0.23,"trendy","no"
"394",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"395",1,0,135,100,"internet","other",0.23,"trendy","no"
"396",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"397",1,0,135,100,"internet","other",0.23,"trendy","no"
"398",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"399",1,0,135,100,"internet","other",0.23,"trendy","no"
"400",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"401",1,0,135,100,"internet","other",0.23,"trendy","no"
"402",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"403",1,0,135,100,"internet","other",0.23,"trendy","no"
"404",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"405",1,0,135,100,"internet","other",0.23,"trendy","no"
"406",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"407",1,0,135,100,"internet","other",0.23,"trendy","no"
"408",2,1,100,135,"games","KPNVodafone",0.17,"trendy","no"
"409",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"410",2,0,170,170,"games","other",0.17,"trendy","no"
"411",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"412",2,0,170,170,"games","other",0.17,"trendy","no"
"413",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"414",2,0,170,170,"games","other",0.17,"trendy","no"
"415",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"416",2,0,170,170,"games","other",0.17,"trendy","no"
"417",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"418",2,0,170,170,"games","other",0.17,"trendy","no"
"419",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"420",2,0,170,170,"games","other",0.17,"trendy","no"
"421",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"422",2,0,170,170,"games","other",0.17,"trendy","no"
"423",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"424",2,0,170,170,"games","other",0.17,"trendy","no"
"425",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"426",2,0,170,170,"games","other",0.17,"trendy","no"
"427",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"428",2,0,170,170,"games","other",0.17,"trendy","no"
"429",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"430",2,0,170,170,"games","other",0.17,"trendy","no"
"431",1,1,100,100,"camera","KPNVodafone",0.23,"basic","yes"
"432",2,0,170,170,"games","other",0.17,"trendy","no"
"433",1,1,135,100,"camera","KPNVodafone",0.17,"trendy","yes"
"434",2,0,170,170,"camera","other",0.23,"trendy","no"
"435",1,1,135,100,"camera","KPNVodafone",0.17,"trendy","yes"
"436",2,0,170,170,"camera","other",0.23,"trendy","no"
"437",1,1,135,100,"camera","KPNVodafone",0.17,"trendy","yes"
"438",2,0,170,170,"camera","other",0.23,"trendy","no"
"439",1,1,135,100,"camera","KPNVodafone",0.17,"trendy","yes"
"440",2,0,170,170,"camera","other",0.23,"trendy","no"
"441",1,1,135,100,"camera","KPNVodafone",0.17,"trendy","yes"
"442",2,0,170,170,"camera","other",0.23,"trendy","no"
"443",1,1,135,100,"camera","KPNVodafone",0.17,"trendy","yes"
"444",2,0,170,170,"camera","other",0.23,"trendy","no"
"445",1,1,135,100,"camera","KPNVodafone",0.17,"trendy","yes"
"446",2,0,170,170,"camera","other",0.23,"trendy","no"
"447",1,1,135,100,"camera","KPNVodafone",0.17,"trendy","yes"
"448",2,0,170,170,"camera","other",0.23,"trendy","no"
